value,size,family number,remodeling,year,thermal,ele,high,Highway,subway,Centraltime,Centralmeter,Bigmart,hospital,park,peopledst,workerdst
1020000000.0,113.0,969.0,193.0,3.0,1.0,1.0,0.0,2900.0,1500.0,47.0,13500.0,1700.0,2000.0,1600.0,2655.0,377.0
1055000000.0,113.0,969.0,193.0,3.0,1.0,1.0,0.0,2900.0,1500.0,47.0,13500.0,1700.0,2000.0,1600.0,2655.0,377.0
1040000000.0,113.0,969.0,193.0,3.0,1.0,1.0,0.0,2900.0,1500.0,47.0,13500.0,1700.0,2000.0,1600.0,2655.0,377.0
1040000000.0,113.0,969.0,193.0,3.0,1.0,1.0,0.0,2900.0,1500.0,47.0,13500.0,1700.0,2000.0,1600.0,2655.0,377.0
850000000.0,99.0,1024.0,179.0,10.0,1.0,1.0,0.0,2500.0,700.0,48.0,11600.0,1400.0,3700.0,247.0,3937.0,874.0
845000000.0,99.0,1024.0,179.0,10.0,1.0,1.0,0.0,2500.0,700.0,48.0,11600.0,1400.0,3700.0,247.0,3937.0,874.0
945000000.0,112.0,1024.0,179.0,10.0,1.0,1.0,0.0,2500.0,700.0,48.0,11600.0,1400.0,3700.0,247.0,3937.0,874.0
890000000.0,115.0,1024.0,179.0,10.0,1.0,1.0,0.0,2500.0,700.0,48.0,11600.0,1400.0,3700.0,247.0,3937.0,874.0
925000000.0,115.0,1024.0,179.0,10.0,1.0,1.0,0.0,2500.0,700.0,48.0,11600.0,1400.0,3700.0,247.0,3937.0,874.0
532000000.0,99.0,567.0,167.0,16.0,1.0,1.0,1.0,1900.0,1400.0,11.0,2100.0,712.0,1700.0,119.0,8019.0,1829.0
565000000.0,111.0,567.0,167.0,16.0,1.0,1.0,1.0,1900.0,1400.0,11.0,2100.0,712.0,1700.0,119.0,8019.0,1829.0
570000000.0,111.0,567.0,167.0,16.0,1.0,1.0,1.0,1900.0,1400.0,11.0,2100.0,712.0,1700.0,119.0,8019.0,1829.0
600000000.0,111.0,567.0,167.0,16.0,1.0,1.0,1.0,1900.0,1400.0,11.0,2100.0,712.0,1700.0,119.0,8019.0,1829.0
590000000.0,111.0,567.0,167.0,16.0,1.0,1.0,1.0,1900.0,1400.0,11.0,2100.0,712.0,1700.0,119.0,8019.0,1829.0
559000000.0,111.0,528.0,220.0,18.0,1.0,1.0,1.0,2600.0,304.0,29.0,2000.0,443.0,1400.0,358.0,10246.0,3237.0
540000000.0,111.0,528.0,220.0,18.0,1.0,1.0,1.0,2600.0,304.0,29.0,2000.0,443.0,1400.0,358.0,10246.0,3237.0
560000000.0,111.0,528.0,220.0,18.0,1.0,1.0,1.0,2600.0,304.0,29.0,2000.0,443.0,1400.0,358.0,10246.0,3237.0
632000000.0,111.0,528.0,220.0,18.0,1.0,1.0,1.0,2600.0,304.0,29.0,2000.0,443.0,1400.0,358.0,10246.0,3237.0
549000000.0,111.0,528.0,220.0,18.0,1.0,1.0,1.0,2600.0,304.0,29.0,2000.0,443.0,1400.0,358.0,10246.0,3237.0
580000000.0,111.0,528.0,220.0,18.0,1.0,1.0,1.0,2600.0,304.0,29.0,2000.0,443.0,1400.0,358.0,10246.0,3237.0
580000000.0,111.0,528.0,220.0,18.0,1.0,1.0,1.0,2600.0,304.0,29.0,2000.0,443.0,1400.0,358.0,10246.0,3237.0
530000000.0,112.0,572.0,208.0,10.0,1.0,1.0,0.0,2200.0,386.0,24.0,4400.0,231.0,425.0,736.0,14471.0,2720.0
515000000.0,112.0,572.0,208.0,10.0,1.0,1.0,0.0,2200.0,386.0,24.0,4400.0,231.0,425.0,736.0,14471.0,2720.0
498000000.0,112.0,572.0,208.0,10.0,1.0,1.0,0.0,2200.0,386.0,24.0,4400.0,231.0,425.0,736.0,14471.0,2720.0
498000000.0,112.0,572.0,208.0,10.0,1.0,1.0,0.0,2200.0,386.0,24.0,4400.0,231.0,425.0,736.0,14471.0,2720.0
500000000.0,113.0,572.0,208.0,10.0,1.0,1.0,0.0,2200.0,386.0,24.0,4400.0,231.0,425.0,736.0,14471.0,2720.0
500000000.0,113.0,572.0,208.0,10.0,1.0,1.0,0.0,2200.0,386.0,24.0,4400.0,231.0,425.0,736.0,14471.0,2720.0
787000000.0,110.0,627.0,165.0,9.0,1.0,0.0,1.0,358.0,1900.0,90.0,1960.0,1800.0,5400.0,580.0,3758.0,633.0
765000000.0,110.0,627.0,165.0,9.0,1.0,0.0,1.0,358.0,1900.0,90.0,1960.0,1800.0,5400.0,580.0,3758.0,633.0
772000000.0,110.0,627.0,165.0,9.0,1.0,0.0,1.0,358.0,1900.0,90.0,1960.0,1800.0,5400.0,580.0,3758.0,633.0
1245000000.0,112.0,656.0,141.0,7.0,1.0,1.0,0.0,1700.0,836.0,116.0,32100.0,633.0,2700.0,350.0,12692.0,1259.0
1250000000.0,112.0,656.0,141.0,7.0,1.0,1.0,0.0,1700.0,836.0,116.0,32100.0,633.0,2700.0,350.0,12692.0,1259.0
1490000000.0,134.0,656.0,141.0,7.0,1.0,1.0,0.0,1700.0,836.0,116.0,32100.0,633.0,2700.0,350.0,12692.0,1259.0
470000000.0,81.0,730.0,257.0,9.0,0.0,1.0,0.0,5300.0,490.0,16.0,2400.0,1000.0,259.0,498.0,10308.0,18845.0
470000000.0,81.0,730.0,257.0,9.0,0.0,1.0,0.0,5300.0,490.0,16.0,2400.0,1000.0,259.0,498.0,10308.0,18845.0
435000000.0,81.0,730.0,257.0,9.0,0.0,1.0,0.0,5300.0,490.0,16.0,2400.0,1000.0,259.0,498.0,10308.0,18845.0
460000000.0,81.0,730.0,257.0,9.0,0.0,1.0,0.0,5300.0,490.0,16.0,2400.0,1000.0,259.0,498.0,10308.0,18845.0
588000000.0,97.0,1236.0,198.0,8.0,1.0,0.0,0.0,3200.0,4300.0,34.0,7900.0,2700.0,1200.0,364.0,5842.0,1560.0
565000000.0,97.0,1236.0,198.0,8.0,1.0,0.0,0.0,3200.0,4300.0,34.0,7900.0,2700.0,1200.0,364.0,5842.0,1560.0
680000000.0,113.0,1236.0,198.0,8.0,1.0,0.0,0.0,3200.0,4300.0,34.0,7900.0,2700.0,1200.0,364.0,5842.0,1560.0
660000000.0,113.0,1236.0,198.0,8.0,1.0,0.0,0.0,3200.0,4300.0,34.0,7900.0,2700.0,1200.0,364.0,5842.0,1560.0
508000000.0,113.0,748.0,217.0,17.0,0.0,1.0,1.0,1700.0,5800.0,39.0,10500.0,2400.0,570.0,227.0,11811.0,2278.0
560000000.0,113.0,748.0,217.0,17.0,0.0,1.0,1.0,1700.0,5800.0,39.0,10500.0,2400.0,570.0,227.0,11811.0,2278.0
